神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
-5501421483196797591,0098bcbf97c39fb34bc5fa16f63323fb,0098bcbf97c39fb34bc5fa16f63323fb,4.0,2018-03-24 18:07:05.000,,,
-334147264234680662,00a6418919d5bf8645597a547361bf61,00a6418919d5bf8645597a547361bf61,4.0,2016-11-27 21:12:52.000,,,chengdu
4980401958496468835,026be82a340611c5fcd0f26cb0554bea,026be82a340611c5fcd0f26cb0554bea,4.0,2020-02-17 19:17:10.000,小3人团-职场抢跑，打造你的超强竞争力-H5-分享,,chengdu
3641353403177979119,03315643e139bd9400f8910ce20c7669,03315643e139bd9400f8910ce20c7669,2.0,2018-03-31 13:35:59.000,,h5,beijing
2507197912340141132,04e6d7b278a7276e3b65a2ff9f691f96,04e6d7b278a7276e3b65a2ff9f691f96,4.0,2020-02-06 17:26:13.000,2020年湖北爱心活动-分享,,huhehaote
4017020189953439170,05423A28-90E5-4DF2-9587-E1941FDCB712,656fd749f35d5ca7be5c4e14adcbf54b,,2020-02-21 21:32:03.000,APP-iOS-自然,,
-2426358157940314912,055e590ddb00e331560068e32a6db771,055e590ddb00e331560068e32a6db771,2.0,2016-08-18 21:24:53.000,,h5,nanning
7411913914578545593,0c4116010fc9ed35b37589e5752ed324,0c4116010fc9ed35b37589e5752ed324,2.0,2017-01-15 09:17:39.000,,h5,changsha
2285736941291598879,0c9274e1033824cbd52d1372fdf3cf03,0c9274e1033824cbd52d1372fdf3cf03,2.0,2018-03-22 21:45:17.000,,h5,shanghai
-421036570247661295,0cc79a8eb1ae526798f0214f944b9f66,0cc79a8eb1ae526798f0214f944b9f66,1.0,2016-10-31 11:15:24.000,,h5,hangzhou
-3238882766773481749,0dda08880d983e302cab297a62f7eed4,0dda08880d983e302cab297a62f7eed4,2.0,2018-01-02 21:06:08.000,,h5,fuzhou
-8625041466401363640,10029125326860a8654b6081818b3c2e,10029125326860a8654b6081818b3c2e,1.0,2018-06-15 14:53:05.000,,,beijing
-4953534411296757742,1107bdd132cbe1d8a3f8e1e752162491,1107bdd132cbe1d8a3f8e1e752162491,1.0,2017-11-10 18:31:43.000,,h5,nanjing
-2754888340278958193,12395b0b8655029095579763e2bbc0a4,12395b0b8655029095579763e2bbc0a4,4.0,2020-03-02 20:45:36.000,,,
3162772259818612917,12ee047db99220cb5954b9055999a4e1,12ee047db99220cb5954b9055999a4e1,1.0,2016-08-21 15:36:24.000,,h5,shenzhen
-7357237016153945770,14c7854c3174a210,1431034dd616aae833724fe451712a4a,,2020-02-24 19:22:19.000,,,
3982810425092563577,16496d10b1c31d-096765aface6438-1860025e-304704-16496d10b1d13e,67f86bed1b4daa5ee786f823fc986e0e,1.0,2019-07-13 21:47:53.000,,h5,shanghai
-9090368464017666272,164bbdbe6b914c-08e7ef75dfef4b8-1c240343-250125-164bbdbe6ba38b,5dbcb36dfdfc279b047352dc0834af3b,4.0,2020-03-02 18:40:34.000,2020年1月研习社春季直播活动-自然,,
6727414313812112390,1654a8c90363e-071982549fcae5-6e294960-269280-1654a8c903830b,6bb24ab95a5d81af9194887af2f2f84e,1.0,2018-11-15 21:05:42.000,,,beijing
6477375042632510858,1658aba878b0-0e6f550aa7e352-162e3c42-230400-1658aba878d374,13cf2ecfad64184b6e6209ed6a8925bf,4.0,2018-08-30 21:53:16.000,,,
-1141565143729298397,1658dd2357910a-09a2a1b8d995628-754b7630-304704-1658dd2357a15b,744981cd4948337bd6d1c50ec2520754,3.0,2018-08-31 17:14:59.000,,h5,shanghai
9188475159609455613,166248683c648-0ab4cec879ccbd-754d645a-230400-166248683c97b,c9715c5e4128e474f8217d2aa5c8d7f8,4.0,2019-09-06 23:46:36.000,,h5,
-7776468195030201672,166608c0d122c4-09379fbee7820f8-4f6d724d-304704-166608c0d13507,eda6ea8e6909cc66a4997a132c29d5b1,2.0,2018-12-15 13:19:50.000,,h5,tianjin
