datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,is_train,count_log,year,month,weekday,hour
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,6.9999832316667465,3.0,13.0,16.0,1,2.772588722239781,2011,1,5,0
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,6.747321318333395,8.0,32.0,40.0,1,3.6888794541139363,2011,1,5,1
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,6.747321318333395,5.0,27.0,32.0,1,3.4657359027997265,2011,1,5,2
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,6.688370921666735,3.0,10.0,13.0,1,2.5649493574615367,2011,1,5,3
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,6.688370921666735,0.0,1.0,1.0,1,0.0,2011,1,5,4
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,6.747321318333395,2.0,0.0,2.0,1,0.6931471805599453,2011,1,5,6
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,6.7796836583334,1.0,2.0,3.0,1,1.0986122886681098,2011,1,5,7
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,6.688370921666735,1.0,7.0,8.0,1,2.0794415416798357,2011,1,5,8
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,9.124935131666698,8.0,6.0,14.0,1,2.6390573296152584,2011,1,5,9
2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,6.743709125000079,8.0,102.0,110.0,1,4.700480365792417,2011,1,0,19
2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,6.439504773690549,0.0,48.0,48.0,1,3.871201010907891,2011,1,1,21
2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,6.120033515238172,0.0,6.0,6.0,1,1.791759469228055,2011,1,2,0
2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,6.743709125000079,1.0,18.0,19.0,1,2.9444389791664403,2011,1,2,23
2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,6.75279823333341,0.0,11.0,11.0,1,2.3978952727983707,2011,1,3,0
2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,6.317705199841324,0.0,4.0,4.0,1,1.3862943611198906,2011,1,3,1
2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,6.317705199841324,0.0,2.0,2.0,1,0.6931471805599453,2011,1,3,2
2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,6.036410113333414,0.0,95.0,95.0,1,4.553876891600541,2011,1,3,7
2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,6.191221597500062,3.0,216.0,219.0,1,5.389071729816501,2011,1,3,8
2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,6.828268485000082,6.0,116.0,122.0,1,4.804021044733257,2011,1,3,9
